id,instance,notes,type,status,inputs (#post),outputs (#pre),NO #post,NO #pre,PB #post,PB #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,300,198,3,3,6917059458
387023620,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1713,343,365,105,776,1,686693145
417998204,PFNv(PB05)_R4_C7,PFNv,PFNv,Traced,999,229,606,125,324,26,476702093
446714544,PFNd(PB04)_L5_C4,PFNd,PFNd,Traced,1407,310,538,94,538,1,488272608
478077561,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,617,118,228,43,352,1,331399103
478427368,PFNv(PB05)_L5_C4,PFNv,PFNv,Traced,985,297,516,133,373,50,549640572
508793049,PEN_a(PB06a)_L7,PEN1,PEN_a(PEN1),Traced,1607,587,505,130,274,4,809613851
539462336,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1609,311,388,89,698,2,603871773
541119189,PFNa(PB03)_R4_C7,PFNa,PFNa,Traced,645,118,292,53,311,1,347051058
569481415,PFNa(PB03)_L5_C4,PFNa,PFNa,Traced,890,194,454,68,381,3,506958053
569775058,PEN_b(PB06b)_R4,PEN2,PEN_b(PEN2),Traced,1582,336,358,92,621,1,777549043
570185174,PFNa(PB03)_L7_C6,PFNa,PFNa,Traced,820,203,515,74,259,4,519425583
570461892,PEN_a(PB06a)_R3,PEN1,PEN_a(PEN1),Traced,1915,565,330,98,625,2,980591420
571826184,PFNp_a(PB01a)_R3_C8,PFNp_a,PFNp_a,Traced,277,74,132,32,117,4,190747929
572167406,PFNp_a(PB01a)_R2_C9,PFNp_a,PFNp_a,Traced,262,63,122,30,119,2,161518101
572494993,PFNv(PB05)_R4_C7,PFNv,PFNv,Traced,887,211,524,112,320,32,410291839
601120917,PFNv(PB05)_R6_C5,PFNv,PFNv,Traced,935,249,473,139,420,44,324848103
601557317,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,560,216,366,99,132,35,358469624
604242162,PFNv(PB05)_L2_C1,PFNv,PFNv,Traced,1137,327,552,147,443,47,602925629
632155800,PFNv(PB05)_R6_C5,PFNv,PFNv,Traced,1042,258,609,146,382,34,458330645
632259507,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,148,48,96,23,36,1,124912295
632600726,PFNm_a(PB02a)_L6_C5,PFNm_a,PFNm_a,Traced,492,99,312,39,123,1,218388914
632915714,PFNm_a(PB02a)_L4_C3,PFNm_a,PFNm_a,Traced,626,95,372,37,197,1,246213024
633943192,PFNd(PB04)_L4_C3,PFNd,PFNd,Traced,1133,197,405,75,552,1,471084398
663298610,PFNd(PB04)_L6_C5,,PFNd,Traced,709,183,323,53,197,2,403942805
663562172,PEN_b(PB06b)_R4,PEN2,PEN_b(PEN2),Traced,1544,319,336,91,630,2,668330517
663950729,PFNm_b(PB02b)_L4_C3,PFNm_b,PFNm_b,Traced,486,93,235,34,149,1,224974171
664313308,PFNp_a(PB01a)_L6_C5,PFNp_a,PFNp_a,Traced,183,57,118,27,49,3,75752334
664645558,PEN_a(PB06a)_L6,PEN1,PEN_a(PEN1),Traced,1380,410,432,90,262,2,485288832
664650297,PEN_b(PB06b)_L6,PEN2,PEN_b(PEN2),Traced,1230,327,375,93,410,2,428103635
693755250,PEN_b(PB06b)_R7,PEN2,PEN_b(PEN2),Traced,1890,432,386,88,822,4,916318576
693979726,PFNp_e(PB01a)_L7_C6,PFNp_e,PFNp_e,Traced,326,78,218,37,84,1,207682939
694670373,PFNp_a(PB01a)_L6_C5,PFNp_a,PFNp_a,Traced,147,56,108,30,30,3,125648610
695270840,PFNd(PB04)_R4_C6,,PFNd,Traced,862,178,344,64,349,1,449980991
697355847,PFNd(PB04)_L3_C2,PFNd,PFNd,Traced,1446,321,450,86,604,2,693721878
723602649,PFNv(PB05)_R2_C9,PFNv,PFNv,Traced,1098,316,730,193,292,41,478849250
724267537,PFNv(PB05)_R5_C6,PFNv,PFNv,Traced,1294,324,610,160,569,50,557959797
724280817,PEN_b(PB06b)_R2,PEN2,PEN_b(PEN2),Traced,1882,456,428,127,757,3,838679464
757055317,PEN_a(PB06a)_L4,PEN1,PEN_a(PEN1),Traced,1538,415,355,97,569,2,719023584
757055403,PFNp_c(PB01c)_L4_C3,PFNp_c,PFNp_c,Traced,331,80,197,31,105,1,189910355
757413552,PFNd(PB04)_L6_C5,PFNd,PFNd,Traced,848,218,412,88,219,2,282580635
759084486,PFNa(PB03)_L2_C1,PFNa,PFNa,Traced,766,133,330,59,371,1,414490420
786013856,PFNd(PB04)_R3_C7,,PFNd,Traced,1465,270,505,95,686,1,603628773
786679162,PFNp_e(PB01a)_R5_C6,PFNp_e,PFNp_e,Traced,432,90,265,38,145,3,237638751
817342497,PFNp_b(PB01b)_R7_C4,PFNp_b,PFNp_b,Traced,282,68,146,25,87,1,146223200
817346903,PFNd(PB04)_R7_C3,PFNd,PFNd,Traced,1518,311,641,107,540,3,624578000
817683388,PFNp_a(PB01a)_R7_C4,PFNp_a,PFNp_a,Traced,260,85,130,39,103,5,168352353
819073675,PFNd(PB04)_R4_C6,,PFNd,Traced,1000,178,432,68,389,1,411066455
819138239,PFNd(PB04)_L4_C3,PFNd,PFNd,Traced,928,178,277,44,424,1,365427761
847712250,PFNp_e(PB01a)_R6_C5,PFNp_e,PFNp_e,Traced,304,53,155,26,133,1,174366951
848817674,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,475,109,254,38,193,1,286421071
849421763,PEN_b(PB06b)_R5,PEN2,PEN_b(PEN2),Traced,2453,482,575,142,1067,1,989164827
849844855,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,432,106,260,40,131,1,258428930
877702431,PFNp_a(PB01a)_R7_C4,PFNp_a,PFNp_a,Traced,250,61,142,29,83,1,153717522
878725581,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,238,54,107,24,117,3,137842641
879183317,PEN_b(PB06b)_L6,PEN2,PEN_b(PEN2),Traced,1223,330,406,102,385,1,600285827
879442155,PFNa(PB03)_R5_C6,PFNa,PFNa,Traced,934,200,478,69,398,3,502217851
879844206,PFNp_a(PB01a)_L5_C4,PFNp_a,PFNp_a,Traced,206,67,109,26,68,5,145747740
880185131,PFNa(PB03)_L5_C4,PFNa,PFNa,Traced,770,169,378,59,332,1,449849872
880526477,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,625,112,291,46,287,1,330939585
880538997,PFNd(PB04)_L6_C5,,PFNd,Traced,963,203,480,73,280,2,387127398
909777910,PFNa(PB03)_R7_C4,PFNa,PFNa,Traced,883,181,457,52,370,5,489398842
910447075,PEN_a(PB06a)_R5,PEN1,PEN_a(PEN1),Traced,1847,575,462,103,535,1,1015212407
910447220,PFNd(PB04)_R5_C5,,PFNd,Traced,1405,282,550,97,569,1,658312304
911504643,PFNd(PB04)_R2_C8,,PFNd,Traced,1031,227,440,79,349,1,478031684
911504689,PFNv(PB05)_R3_C8,PFNv,PFNv,Traced,1576,330,817,188,684,39,526575662
911897818,PFNv(PB05)_L4_C3,PFNv,PFNv,Traced,957,214,393,103,493,31,419349386
911897964,PFNv(PB05)_L4_C3,PFNv,PFNv,Traced,824,190,367,94,362,33,382389771
912238927,PFNp_e(PB01a)_L4_C3,PFNp_e,PFNp_e,Traced,313,68,153,28,137,3,187390993
912894972,PFNp_a(PB01a)_L2_C1,PFNp_a,PFNp_a,Traced,223,54,114,22,92,1,74353202
912894991,PFNv(PB05)_L3_C2,PFNv,PFNv,Traced,1524,325,628,120,766,54,631785776
913235746,PFNp_e(PB01a)_L2_C1,PFNp_e,PFNp_e,Traced,316,72,181,40,115,1,209241742
916974420,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,475,96,278,37,163,1,262883335
940791383,PFNd(PB04)_R6_C4,PFNd,PFNd,Traced,991,183,354,64,448,2,408413149
940808800,PFNp_e(PB01a)_R7_C4,PFNp_e,PFNp_e,Traced,380,84,226,41,131,1,237152945
942254492,PFNp_e(PB01a)_L4_C3,PFNp_e,PFNp_e,Traced,212,56,112,21,81,1,169830327
942539535,PFNp_d(PB01a)_R3_C8,PFNp_d,PFNp_d,Traced,163,26,57,,32,1,115263488
971506655,PFNa(PB03)_R7_C4,PFNa,PFNa,Traced,864,188,435,74,394,2,481997001
971817711,PFNv(PB05)_R7_C3,PFNv,PFNv,Traced,1415,342,799,172,511,43,589230506
972892437,PEN_a(PB06a)_R2,PEN1,PEN_a(PEN1),Traced,1676,513,462,106,438,1,848941665
973566036,PEN_b(PB06b)_R3,PEN2,PEN_b(PEN2),Traced,2101,410,317,87,1037,2,832431327
1002507131,PEN_a(PB06a)_R7,PEN1,PEN_a(PEN1),Traced,1917,612,560,148,565,1,1065119131
1002848124,PFNd(PB04)_R7_C3,PFNd,PFNd,Traced,1443,299,542,89,528,1,682555606
1003318634,PFNd(PB04)_L7_C6,,PFNd,Traced,1336,307,624,110,350,1,637846497
1003659595,PFNp_b(PB01b)_L7_C6,PFNp_b,PFNp_b,Traced,196,84,150,43,16,1,175868484
1034711992,PFNp_a(PB01a)_L7_C6,PFNp_a,PFNp_a,Traced,224,67,153,31,56,4,148000552
1035955516,PFNm_b(PB02b)_R4_C7,PFNm_b,PFNm_b,Traced,392,93,148,22,136,2,212169182
1062526223,PEN_b(PB06b)_R8,PEN2,PEN_b(PEN2),Traced,2195,470,567,125,839,2,994963622
