id,instance,notes,type,status,inputs (#post),outputs (#pre),NO #post,NO #pre,FB #post,FB #pre,#voxels
818119357,PFNp_c(PB01c)_L7_C6,PFNp_c,PFNp_c,Traced,506,117,371,42,38,75,274134599
819073675,PFNd(PB04)_R4_C6,,PFNd,Traced,1000,178,432,68,179,109,411066455
819138027,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,156,43,90,24,11,18,134946976
819138035,PFNp_a(PB01a)_L4_C3,PFNp_a,PFNp_a,Traced,189,44,83,14,15,27,150272681
819138239,PFNd(PB04)_L4_C3,PFNd,PFNd,Traced,928,178,277,44,226,133,365427761
847712233,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,187,51,96,23,26,27,145745444
847712250,PFNp_e(PB01a)_R6_C5,PFNp_e,PFNp_e,Traced,304,53,155,26,16,26,174366951
847712342,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,192,48,115,28,15,20,147420508
848407278,PFNp_b(PB01b)_R5_C6,PFNp_b,PFNp_b,Traced,257,55,133,30,19,25,172660861
848800043,PFNp_c(PB01c)_L5_C4,PFNp_c,PFNp_c,Traced,489,106,306,50,37,55,262799349
848800082,PFNp_c(PB01c)_L5_C4,PFNp_c,PFNp_c,Traced,544,123,363,53,39,70,302734668
848817674,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,475,109,254,38,22,68,286421071
849162653,PFNp_d(PB01a)_L6_C5,PFNp_d,PFNp_d,Traced,87,19,49,1,26,16,92814524
849421893,PFNm_b(PB02b)_R5_C6,PFNm_b,PFNm_b,Traced,427,124,184,35,106,89,265359039
849763224,PFNa(PB03)_R4_C7,PFNa,PFNa,Traced,652,115,349,49,27,66,354180079
849832062,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,418,87,211,33,38,54,259046164
849832122,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,189,47,88,22,14,25,140054048
849844855,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,432,106,260,40,39,65,258428930
850104005,PFNd(PB04)_R4_C6,,PFNd,Traced,1071,187,506,81,151,106,477327541
850492366,PFNp_c(PB01c)_L3_C2,PFNp_c,PFNp_c,Traced,505,116,292,48,44,68,281676820
850829072,PFNp_b(PB01b)_L2_C1,PFNp_b,PFNp_b,Traced,202,54,96,26,19,28,162438540
850829248,PFNp_c(PB01c)_L2_C1,PFNp_c,PFNp_c,Traced,489,96,319,34,50,62,254538077
851170296,PFNp_b(PB01b)_L3_C2,PFNp_b,PFNp_b,Traced,183,38,107,16,25,22,125236748
877702431,PFNp_a(PB01a)_R7_C4,PFNp_a,PFNp_a,Traced,250,61,142,29,21,31,153717522
878380399,PFNd(PB04)_R6_C4,,PFNd,Traced,969,202,484,83,163,119,454496955
878725581,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,238,54,107,24,14,27,137842641
879183317,PEN_b(PB06b)_L6,PEN2,PEN_b(PEN2),Traced,1223,330,406,102,,4,600285827
879442155,PFNa(PB03)_R5_C6,PFNa,PFNa,Traced,934,200,478,69,53,128,502217851
879748663,PFNa(PB03)_R6_C5,PFNa,PFNa,Traced,536,105,283,46,28,59,302692993
879779401,PFNp_b(PB01b)_R5_C6,PFNp_b,PFNp_b,Traced,257,61,149,31,21,30,171788398
879844133,PFNp_d(PB01a)_L5_C4,PFNp_d,PFNp_d,Traced,122,29,63,2,47,24,118494090
879844144,PFNp_b(PB01b)_L5_C4,PFNp_b,PFNp_b,Traced,196,47,107,20,19,27,132372936
879844178,PFNp_d(PB01a)_L5_C4,PFNp_d,PFNp_d,Traced,167,28,79,6,55,22,108237111
879844206,PFNp_a(PB01a)_L5_C4,PFNp_a,PFNp_a,Traced,206,67,109,26,29,36,145747740
879844210,PFNp_b(PB01b)_L5_C4,PFNp_b,PFNp_b,Traced,242,67,120,33,25,32,151169349
880185131,PFNa(PB03)_L5_C4,PFNa,PFNa,Traced,770,169,378,59,59,109,449849872
880526177,PFNp_a(PB01a)_L4_C3,PFNp_a,PFNp_a,Traced,175,44,83,16,17,27,130666707
880526292,PFNp_c(PB01c)_L4_C3,PFNp_c,PFNp_c,Traced,493,98,314,39,30,57,239556831
880526308,PFNp_d(PB01a)_L_C3_irreg,PFNp_d,PFNp_d,Traced,151,31,33,,94,26,105172050
880526398,PFNp_a(PB01a)_L4_C3,PFNp_a,PFNp_a,Traced,202,49,101,16,29,33,130670870
880526454,vDeltaM_C3,FB1vD0FB4,vDeltaM,Traced,139,27,9,,129,27,125453724
880526477,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,625,112,291,46,46,65,330939585
880538997,PFNd(PB04)_L6_C5,,PFNd,Traced,963,203,480,73,199,128,387127398
880875900,PFNm_a(PB02a)_L5_C4,PFNm_a,PFNm_a,Traced,741,122,425,50,86,71,300524123
881216816,PFNp_a(PB01a)_L5_C4,PFNp_a,PFNp_a,Traced,176,57,89,27,18,30,120219840
881527223,PFNd(PB04)_L3_C2,PFNd,PFNd,Traced,1355,305,503,94,297,211,618600868
881868311,PFNp_a(PB01a)_L2_C1,PFNp_a,PFNp_a,Traced,119,40,72,19,15,20,124863001
909777910,PFNa(PB03)_R7_C4,PFNa,PFNa,Traced,883,181,457,52,56,124,489398842
909877092,PFNd(PB04)_L7_C6,,PFNd,Traced,1160,278,646,108,245,166,552082947
910447220,PFNd(PB04)_R5_C5,,PFNd,Traced,1405,282,550,97,286,184,658312304
910473088,PFNp_b(PB01b)_R5_C6,PFNp_b,PFNp_b,Traced,194,61,127,34,25,27,154340514
910878587,PFNp_a(PB01a)_L5_C4,PFNp_a,PFNp_a,Traced,176,50,100,23,15,27,136279137
911215499,PFNp_c(PB01c)_L4_C3,PFNp_c,PFNp_c,Traced,403,78,239,31,38,47,219384807
911219981,PFNp_d(PB01a)_L4_C3,PFNp_d,PFNp_d,Traced,138,24,63,3,33,19,106419834
911220325,PFNp_d(PB01a)_L4_C3,PFNp_d,PFNp_d,Traced,112,19,72,5,29,13,54851035
911220331,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,163,46,82,21,12,24,143137002
911500529,PFNp_c(PB01c)_R2_C9,PFNp_c,PFNp_c,Traced,342,71,228,31,26,40,201548057
911504643,PFNd(PB04)_R2_C8,,PFNd,Traced,1031,227,440,79,241,147,478031684
911504689,PFNv(PB05)_R3_C8,PFNv,PFNv,Traced,1576,330,817,188,71,103,526575662
911560974,PFNd(PB04)_L4_C3,PFNd,PFNd,Traced,1076,185,378,76,182,109,469089516
911823931,PFNp_a(PB01a)_R4_C7,PFNp_a,PFNp_a,Traced,136,39,78,17,14,21,127899766
911897818,PFNv(PB05)_L4_C3,PFNv,PFNv,Traced,957,214,393,103,63,79,419349386
911897964,PFNv(PB05)_L4_C3,PFNv,PFNv,Traced,824,190,367,94,92,62,382389771
912238927,PFNp_e(PB01a)_L4_C3,PFNp_e,PFNp_e,Traced,313,68,153,28,23,37,187390993
912558136,PFNp_b(PB01b)_L2_C1,PFNp_b,PFNp_b,Traced,132,38,81,15,28,23,109033536
912894972,PFNp_a(PB01a)_L2_C1,PFNp_a,PFNp_a,Traced,223,54,114,22,16,31,74353202
912894991,PFNv(PB05)_L3_C2,PFNv,PFNv,Traced,1524,325,628,120,115,146,631785776
912898873,PFNp_d(PB01a)_L2_C1,PFNp_d,PFNp_d,Traced,124,16,53,1,45,15,95689834
912899006,vDeltaM_C2,FB1vD0FB4,vDeltaM,Traced,173,31,16,,154,29,143493345
913235746,PFNp_e(PB01a)_L2_C1,PFNp_e,PFNp_e,Traced,316,72,181,40,19,30,209241742
916974420,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,475,96,278,37,32,58,262883335
940791092,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,172,37,70,11,35,26,119275043
940791093,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,207,42,100,13,48,28,124953130
940791115,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,179,52,87,21,30,30,146076844
940791123,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,178,39,98,17,27,21,135021179
940791383,PFNd(PB04)_R6_C4,PFNd,PFNd,Traced,991,183,354,64,188,117,408413149
940808800,PFNp_e(PB01a)_R7_C4,PFNp_e,PFNp_e,Traced,380,84,226,41,23,41,237152945
941132270,PFNa(PB03)_R6_C5,PFNa,PFNa,Traced,560,112,227,42,38,70,333056544
941244280,PFNa(PB03)_L7_C6,PFNa,PFNa,Traced,530,135,359,61,38,74,348045050
942172462,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,180,34,112,13,45,21,121738737
942254492,PFNp_e(PB01a)_L4_C3,PFNp_e,PFNp_e,Traced,212,56,112,21,15,33,169830327
942254554,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,530,86,244,35,40,51,276831339
942535218,PFNp_b(PB01b)_R3_C8,PFNp_b,PFNp_b,Traced,240,45,99,15,47,30,127512872
942539535,PFNp_d(PB01a)_R3_C8,PFNp_d,PFNp_d,Traced,163,26,57,,70,24,115263488
943226223,PFNp_b(PB01b)_R3_C8,PFNp_b,PFNp_b,Traced,288,67,148,30,34,37,189657430
943592738,PFNp_b(PB01b)_L2_C1,PFNp_b,PFNp_b,Traced,213,50,103,21,33,28,139934401
943592989,PFNp_b(PB01b)_L2_C1,PFNp_b,PFNp_b,Traced,142,33,77,7,50,26,115633533
943921248,PFNa(PB03)_L2_C1,PFNa,PFNa,Traced,645,147,332,58,42,89,379312942
943933727,PFNp_d(PB01a)_L3_C2,PFNp_d,PFNp_d,Traced,138,22,37,,41,17,111460633
971506655,PFNa(PB03)_R7_C4,PFNa,PFNa,Traced,864,188,435,74,33,112,481997001
971817401,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,159,35,83,18,9,17,122675710
971817711,PFNv(PB05)_R7_C3,PFNv,PFNv,Traced,1415,342,799,172,104,127,589230506
972624772,PFNm_a(PB02a)_L7_C6,PFNm_a,PFNm_a,Traced,642,126,452,58,62,67,293734760
972871918,PFNa(PB03)_R4_C7,PFNa,PFNa,Traced,561,102,279,39,40,63,303243486
974627674,PFNd(PB04)_L2_C1,PFNd,PFNd,Traced,1139,250,449,87,245,163,513924971
974968796,PFNm_a(PB02a)_L2_C1,PFNm_a,PFNm_a,Traced,548,115,341,49,55,66,279350363
987877232,FB4K_L,CRESMPFB4_3,FB4K,Traced,2078,415,1,,1052,414,1341902381
1002848124,PFNd(PB04)_R7_C3,PFNd,PFNd,Traced,1443,299,542,89,371,209,682555606
1003318634,PFNd(PB04)_L7_C6,,PFNd,Traced,1336,307,624,110,343,196,637846497
1003659595,PFNp_b(PB01b)_L7_C6,PFNp_b,PFNp_b,Traced,196,84,150,43,28,39,175868484
1008378448,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6301,1791,354,45,2988,1406,2716937442
1032643905,PFNa(PB03)_L9_C9,PFNa,PFNa,Traced,545,140,293,38,45,101,363225756
1034703497,PFNp_b(PB01b)_L7_C6,PFNp_b,PFNp_b,Traced,147,54,111,25,19,29,147176282
1034711992,PFNp_a(PB01a)_L7_C6,PFNp_a,PFNp_a,Traced,224,67,153,31,14,32,148000552
1035955516,PFNm_b(PB02b)_R4_C7,PFNm_b,PFNm_b,Traced,392,93,148,22,105,68,212169182
1062526223,PEN_b(PB06b)_R8,PEN2,PEN_b(PEN2),Traced,2195,470,567,125,,5,994963622
1069757725,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,156,36,88,12,37,23,113987135
1075827302,FB2D_R,LALCREFB2_2,FB2D,Traced,3206,575,19,2,2714,552,1027285919
1094722478,PFNp_c(PB01c)_L8_C7,PFNp_c,PFNp_c,Traced,298,80,228,38,11,41,175772979
1094934199,PFNd(PB04)_R8_C2,PFNd,PFNd,Traced,1410,281,539,90,294,189,683485050
1100792636,FB4Y(EB/NO1)_L,EBCREFB45,FB4Y,Traced,4658,1763,409,53,2947,1316,1949749132
1100796921,FB4M(PPM3-FB3/4-NO-DAN)_L,CRENO2FB4_2,FB4M,Traced,2493,2346,272,144,2062,2154,1593973477
1100801075,FB4M(PPM3-FB3/4-NO-DAN)_L,CRENO2FB4_2,FB4M,Traced,2596,2354,310,157,2099,2147,1579340978
1101133698,FB4B(NO2)_L,NO2LALFB4,FB4B,Traced,3594,915,760,75,2816,836,1317034611
1105187274,vDeltaB_C0,FB1D0FB7_1,vDeltaB,Traced,509,89,1,,497,89,232080562
1106857669,FB4B(NO2)_R,NO2LALFB4,FB4B,Traced,4239,862,713,74,2599,777,2142474039
1125411720,PFNp_c(PB01c)_L9_C9,PFNp_c,PFNp_c,Traced,480,117,318,44,56,73,247192520
1125964651,PFNv(PB05)_R8_C3,PFNv,PFNv,Traced,1191,347,674,166,106,128,607539930
1125964879,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,180,47,83,22,29,25,146574800
1125964899,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,150,33,70,6,39,27,111011326
1126301255,PFNa(PB03)_R8_C3,PFNa,PFNa,Traced,640,141,276,52,35,82,400991774
1126301622,PFNp_c(PB01c)_R8_C3,PFNp_c,PFNp_c,Traced,411,101,269,50,23,51,265534016
1126305687,PFNp_a(PB01a)_R8_C3,PFNp_a,PFNp_a,Traced,167,41,107,22,7,19,148659739
1126306451,PFNd(PB04)_R8_C2,PFNd,PFNd,Traced,1342,293,500,80,334,212,710219740
1126310716,PFNp_e(PB01a)_R8_C3,PFNp_e,PFNp_e,Traced,416,80,244,43,19,36,213817246
1126310776,PFNa(PB03)_R8_C2,PFNa,PFNa,Traced,583,123,316,49,54,74,358744120
1126310807,PFNp_a(PB01a)_R8_C3,PFNp_a,PFNp_a,Traced,188,65,90,23,26,38,158827656
1126310841,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,211,56,107,28,37,28,89825484
1126310969,PFNa(PB03)_R8_C3,PFNa,PFNa,Traced,583,138,268,43,30,94,348721689
1127471202,PFNd(PB04)_L8_C7,,PFNd,Traced,1051,258,609,111,185,145,350288881
1127808629,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,140,47,89,22,33,25,121365609
1128495875,PFNd(PB04)_L8_C7,,PFNd,Traced,973,275,552,105,204,165,352459296
1129456907,PFNp_a(PB01a)_L2_C1,PFNp_a,PFNp_a,Traced,132,40,89,27,7,13,130305771
1131827390,FB4M(PPM3-FB3/4-NO-DAN)_R,CRENO2FB4_2,FB4M,Traced,4431,2614,244,121,2054,2395,2860197903
1131831702,FB4K_R,CRESMPFB4_3,FB4K,Traced,1656,426,1,,976,421,1356524757
1131831822,FB3A_R,,FB3A,Traced,2774,451,580,96,1217,352,1522866333
1131836229,FB4C(NO2)_L,CRENO2FB4_1,FB4C,Traced,4730,917,1019,171,2441,620,1390563331
1132194044,vDeltaM_C6,FB1vD0FB4,vDeltaM,Traced,189,29,10,,178,29,138850442
1135518161,vDeltaA_b_C0,FB1D0FB8,vDeltaA_b,Traced,182,83,1,1,162,78,177730173
1137590785,SIFa(PDM34),,SIFa,Traced,658,344,24,28,39,30,4308407118
1155302782,PFNm_a(PB02a)_R8_C3,PFNm_a,PFNm_a,Traced,546,119,375,54,43,63,319944629
1155652503,PFNa(PB03)_R9_C1,PFNa,PFNa,Traced,597,134,309,47,36,85,412774414
1156663078,PFNm_b(PB02b)_R8_C3,PFNm_b,PFNm_b,Traced,517,99,298,37,83,62,246283752
1156999846,PFNp_a(PB01a)_R8_C3,PFNp_a,PFNp_a,Traced,175,52,93,24,12,27,148449235
1157000178,PFNp_e(PB01a)_R8_C3,PFNp_e,PFNp_e,Traced,348,79,165,35,32,37,183649556
1158507458,PFNp_e(PB01a)_L8_C7,PFNp_e,PFNp_e,Traced,287,75,175,37,12,33,179574042
1158507467,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,168,57,120,30,25,26,123595201
1159530101,PFNp_c(PB01c)_L8_C7,PFNp_c,PFNp_c,Traced,347,96,236,38,29,58,197650113
1160833169,PFNp_b(PB01b)_L2_C1,PFNp_b,PFNp_b,Traced,148,41,74,16,31,25,134082097
1162529693,FB3A_R,,FB3A,Traced,2547,449,561,92,1223,354,1488371650
1162866390,FB3A_L,,FB3A,Traced,1682,474,479,97,1192,375,748100151
1164597572,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,140,50,99,19,21,28,113308724
1187693355,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,162,44,104,16,32,28,142162178
1187831582,PFNa(PB03)_L9_C9,PFNa,PFNa,Traced,682,181,355,66,45,113,384194515
1187844616,PFNd(PB04)_L9_C8,,PFNd,Traced,1212,301,586,109,292,191,502728141
1188043606,PFNp_d(PB01a)_R8_C3,PFNp_d,PFNp_d,Traced,114,29,65,4,34,23,107834774
1188163963,PFNm_a(PB02a)_L9_C9,PFNm_a,PFNm_a,Traced,580,121,375,48,72,72,251157582
1188181261,PFNd(PB04)_L9_C8,,PFNd,Traced,1132,276,580,117,260,157,489974838
1188371481,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,151,53,83,19,16,34,139693719
1188716311,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,152,31,68,12,29,19,127026545
1189549476,PFNm_b(PB02b)_L9_C9,PFNm_b,PFNm_b,Traced,375,88,191,34,77,53,200887917
1189882785,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,135,48,93,16,24,32,111933746
1189887646,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,160,43,112,17,31,25,116529422
1193560072,FB3A_L,,FB3A,Traced,1702,444,464,78,1228,366,733766372
1217372569,PFNp_a(PB01a)_R9_C2,PFNp_a,PFNp_a,Traced,181,19,93,,23,17,115773155
1217385533,PFNa(PB03)_R9_C1,PFNa,PFNa,Traced,798,169,353,52,65,117,490492585
1217394039,PFNm_b(PB02b)_R9_C1,PFNm_b,PFNm_b,Traced,536,113,230,27,121,82,253744616
1218728463,PFNp_b(PB01b)_R9_C1,PFNp_b,PFNp_b,Traced,242,66,139,27,38,38,134505617
1218728541,PFNa(PB03)_R9_C1,PFNa,PFNa,Traced,864,195,476,64,59,128,527636691
1218728544,PFNp_b(PB01b)_R9_C1,PFNp_b,PFNp_b,Traced,189,55,108,19,35,36,130675048
1218728570,PEN_b(PB06b)_R9,PEN2,PEN_b(PEN2),Traced,1423,315,394,93,10,14,706646004
1218728588,PFNp_a(PB01a)_R9_C2,PFNp_a,PFNp_a,Traced,207,56,116,27,16,29,144326219
1218732781,PFNd(PB04)_R9_C1,PFNd,PFNd,Traced,1297,275,523,105,244,166,652471029
1218732931,PFNd(PB04)_R9_C1,PFNd,PFNd,Traced,1361,263,596,92,276,169,598588168
1218733141,PFNp_b(PB01b)_R9_C2,PFNp_b,PFNp_b,Traced,186,51,136,29,11,22,145939775
1219069788,PFNp_a(PB01a)_R9_C2,PFNp_a,PFNp_a,Traced,310,73,176,33,19,35,170005012
1219410844,PFNp_a(PB01a)_R9_C2,PFNp_a,PFNp_a,Traced,189,49,113,27,22,22,143591103
1219756158,PFNp_a(PB01a)_R9_C2,PFNp_a,PFNp_a,Traced,288,76,133,39,17,33,170645565
1219889738,PFNp_c(PB01c)_L9_C9,PFNp_c,PFNp_c,Traced,258,82,179,37,20,43,184585387
1220576923,PEN_a(PB06a)_L9,,PEN_a(PEN1),Traced,1833,643,605,173,1,1,883794470
1220581302,PFNp_a(PB01a)_L9_C8,PFNp_a,PFNp_a,Traced,135,50,91,28,13,21,107373795
1220584946,PEN_b(PB06b)_L9,PEN2,PEN_b(PEN2),Traced,1349,320,506,104,3,11,524380567
1223640877,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,480,166,330,70,23,59,323395635
1224249917,PFNa(PB03)_R6_C5,PFNa,PFNa,Traced,556,106,255,34,41,72,324744105
1224254476,PFNa(PB03)_R6_C5,PFNa,PFNa,Traced,513,99,248,46,35,53,279492497
1224258912,FB2A(PPM3-FB2-NO-DAN)_L,NOaLALFB2,FB2A,Traced,1658,1145,154,37,1470,1078,717985024
1224595273,FB2A(PPM3-FB2-NO-DAN)_R,NOaLALFB2,FB2A,Traced,2359,1059,169,52,1328,964,1211327177
1224936588,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,443,108,234,39,31,66,297415403
1224941044,FB2A(PPM3-FB2-NO-DAN)_R,NOaLALFB2,FB2A,Traced,2613,1170,150,33,1508,1105,1272001412
1224945409,FB2B_b_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_b,Traced,1370,619,1,,1331,617,1059621938
1224945418,FB2A(PPM3-FB2-NO-DAN)_L,NOaLALFB2,FB2A,Traced,1475,1010,155,48,1289,937,638450431
