id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,PB #post,PB #pre,#voxels
786679162,PFNp_e(PB01a)_R5_C6,PFNp_e,PFNp_e,Traced,432,90,21,48,145,3,237638751
786989471,PFR_b(PB11b)_R4_C5,PFR_b,PFR_b,Traced,1833,200,1598,110,157,11,690237195
788461444,PFGs(PB10)_L6_C6,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2567,391,2382,374,143,6,992956241
788794171,EPG(PB08)_L6,EPG,EPG,Traced,3207,445,8,,203,183,871873631
789121913,PFR_a(PB11a)_L4_C4,PFR_a,PFR_a,Traced,1476,438,1326,389,86,3,500493356
789126240,EPG(PB08)_L5,,EPG,Traced,3024,479,8,1,212,184,1177122514
789130596,PFL3(PB12c)_L4_C6,PB1-7FB1245LAL,PFL3,Traced,2851,454,2124,5,582,1,1194392560
817342497,PFNp_b(PB01b)_R7_C4,PFNp_b,PFNp_b,Traced,282,68,46,42,87,1,146223200
817346903,PFNd(PB04)_R7_C3,PFNd,PFNd,Traced,1518,311,336,201,540,3,624578000
817683388,PFNp_a(PB01a)_R7_C4,PFNp_a,PFNp_a,Traced,260,85,27,41,103,5,168352353
819073675,PFNd(PB04)_R4_C6,,PFNd,Traced,1000,178,179,109,389,1,411066455
819138239,PFNd(PB04)_L4_C3,PFNd,PFNd,Traced,928,178,226,133,424,1,365427761
819828716,PFR_b(PB11b)_L4_C5,PFR_b,PFR_b,Traced,1371,323,1032,105,197,16,713051764
819828986,EPG(PB08)_L5,EPG,EPG,Traced,3264,513,2,2,253,202,1242575632
847712250,PFNp_e(PB01a)_R6_C5,PFNp_e,PFNp_e,Traced,304,53,16,26,133,1,174366951
848817674,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,475,109,22,68,193,1,286421071
849844855,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,432,106,39,65,131,1,258428930
850194651,PFL2(PB12b)_L4_C8,PB1-4FB1245LAL,PFL2,Traced,2910,381,1711,4,1077,6,1049700272
850855138,PFL3(PB12c)_L3_C5,PB1-7FB1245LAL,PFL3,Traced,2495,440,1758,6,641,1,1238365051
851493896,PFL3(PB12c)_L1_C3,PB1-7FB1245LAL,PFL3,Traced,3272,336,2887,3,283,2,981759380
877702431,PFNp_a(PB01a)_R7_C4,PFNp_a,PFNp_a,Traced,250,61,21,31,83,1,153717522
878725581,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,238,54,14,27,117,3,137842641
879442155,PFNa(PB03)_R5_C6,PFNa,PFNa,Traced,934,200,53,128,398,3,502217851
879468563,PFGs(PB10)_R2_C8,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,1931,383,1825,368,81,6,808154342
879844206,PFNp_a(PB01a)_L5_C4,PFNp_a,PFNp_a,Traced,206,67,29,36,68,5,145747740
880185131,PFNa(PB03)_L5_C4,PFNa,PFNa,Traced,770,169,59,109,332,1,449849872
880526477,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,625,112,46,65,287,1,330939585
880538997,PFNd(PB04)_L6_C5,,PFNd,Traced,963,203,199,128,280,2,387127398
880875840,PFL2(PB12b)_L5_C9,PB1-4FB1245LAL,PFL2,Traced,2712,398,1748,10,830,1,1069803729
880875927,PFL3(PB12c)_L5_C7,PB1-7FB1245LAL,PFL3,Traced,2110,307,1609,1,429,2,707899812
881458145,PFL1(PB12a)_R4_C5,PFLC,PFL1,Traced,1084,2,410,,671,1,898083964
881458181,PFL1(PB12a)_R3_C6,PFLC,PFL1,Traced,1288,5,512,2,771,2,930498996
881506038,PFR_b(PB11b)_R1_C1_irreg,,PFR_b,Traced,2133,328,1727,109,207,14,789497774
881898734,PEG(PB07)_L6,PEG,PEG,Traced,1094,236,16,1,625,9,720534350
882239837,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,3466,366,2694,14,635,7,1151779323
882533209,PFL1(PB12a)_R1_C2_irreg,PFLC,PFL1,Traced,1547,341,970,7,508,1,1432354774
884916660,PFGs(PB10)_R5_C5,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2020,413,1862,405,153,5,931708485
909777910,PFNa(PB03)_R7_C4,PFNa,PFNa,Traced,883,181,56,124,370,5,489398842
910438331,EPG(PB08)_R6,EPG,EPG,Traced,3749,438,21,,239,164,1189689723
910447181,PFL3(PB12c)_R5_C3,PB1-7FB1245LAL,PFL3,Traced,3671,15,3227,10,432,1,723546053
910447220,PFNd(PB04)_R5_C5,,PFNd,Traced,1405,282,286,184,569,1,658312304
910787992,PFL1(PB12a)_R5_C4,PFLC,PFL1,Traced,1194,63,624,2,552,3,868477066
911504643,PFNd(PB04)_R2_C8,,PFNd,Traced,1031,227,241,147,349,1,478031684
911504689,PFNv(PB05)_R3_C8,PFNv,PFNv,Traced,1576,330,71,103,684,39,526575662
911565319,PFL1(PB12a)_L5_C6,PFLC,PFL1,Traced,1636,297,946,6,618,1,1118569527
911569552,PFL3(PB12c)_L5_C7,PB1-7FB1245LAL,PFL3,Traced,2113,338,1722,8,307,1,860588162
911578483,PFL1(PB12a)_L6_C7,PFLC,PFL1,Traced,1306,282,824,2,423,5,1241067076
911897818,PFNv(PB05)_L4_C3,PFNv,PFNv,Traced,957,214,63,79,493,31,419349386
911897964,PFNv(PB05)_L4_C3,PFNv,PFNv,Traced,824,190,92,62,362,33,382389771
911915224,PFR_b(PB11b)_L5_C6,PFR_b,PFR_b,Traced,2043,339,1640,116,240,24,662075215
912147871,PFGs(PB10)_R6_C4,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2846,608,2686,589,144,9,1036933538
912238927,PFNp_e(PB01a)_L4_C3,PFNp_e,PFNp_e,Traced,313,68,23,37,137,3,187390993
912488890,PFL3(PB12c)_R3_C5,PB1-7FB1245LAL,PFL3,Traced,3035,2,2344,1,688,1,940987291
912545106,EPG(PB08)_L2,EPG,EPG,Traced,4273,564,28,,321,217,1279652378
912601268,EPG(PB08)_L6,EPG,EPG,Traced,3433,459,13,,231,186,961831095
912894972,PFNp_a(PB01a)_L2_C1,PFNp_a,PFNp_a,Traced,223,54,16,31,92,1,74353202
912894991,PFNv(PB05)_L3_C2,PFNv,PFNv,Traced,1524,325,115,146,766,54,631785776
912925080,PFL3(PB12c)_L3_C5,PB1-7FB1245LAL,PFL3,Traced,2624,442,1871,6,633,1,1310859231
913235746,PFNp_e(PB01a)_L2_C1,PFNp_e,PFNp_e,Traced,316,72,19,30,115,1,209241742
916284630,PFL2(PB12b)_R2_C4,PB1-4FB1245LAL,PFL2,Traced,2791,419,2118,10,560,1,1366489368
916974420,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,475,96,32,58,163,1,262883335
940791383,PFNd(PB04)_R6_C4,PFNd,PFNd,Traced,991,183,188,117,448,2,408413149
940808800,PFNp_e(PB01a)_R7_C4,PFNp_e,PFNp_e,Traced,380,84,23,41,131,1,237152945
941123943,PFL1(PB12a)_R6_C3,PFLC,PFL1,Traced,1592,5,969,1,621,2,930344690
941132434,EPG(PB08)_R6,EPG,EPG,Traced,3384,384,8,1,204,161,1033944779
941939879,PFL3(PB12c)_L6_C8,PB1-7FB1245LAL,PFL3,Traced,2359,485,1872,6,374,2,1137135613
942172835,PFL3(PB12c)_R4_C4,PB1-7FB1245LAL,PFL3,Traced,2327,5,1918,4,406,1,885694660
942173776,PEG(PB07)_R4,PEG,PEG,Traced,1155,148,8,1,864,1,661259565
942254492,PFNp_e(PB01a)_L4_C3,PFNp_e,PFNp_e,Traced,212,56,15,33,81,1,169830327
942491983,EPG(PB08)_R6,EPG,EPG,Traced,3582,477,16,1,293,213,1236585592
942539535,PFNp_d(PB01a)_R3_C8,PFNp_d,PFNp_d,Traced,163,26,70,24,32,1,115263488
942587380,PEG(PB07)_L4,PEG,PEG,Traced,1528,253,6,1,1051,2,737594409
943921162,PFR_a(PB11a)_R1_C1_irreg,,PFR_a,Traced,1588,471,1449,426,85,2,571821666
943955813,PFR_b(PB11b)_L3_C3,PFR_b,PFR_b,Traced,1910,324,1382,167,328,74,666717755
948333783,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,3219,320,2584,16,535,2,1090467478
971506655,PFNa(PB03)_R7_C4,PFNa,PFNa,Traced,864,188,33,112,394,2,481997001
971817711,PFNv(PB05)_R7_C3,PFNv,PFNv,Traced,1415,342,104,127,511,43,589230506
972858260,PFR_a(PB11a)_R5_C5,PFR_a,PFR_a,Traced,1410,394,1320,388,85,1,458466164
972892437,PEN_a(PB06a)_R2,PEN1,PEN_a(PEN1),Traced,1676,513,1,,438,1,848941665
973954598,PFR_a(PB11a)_L3_C3,PFR_a,PFR_a,Traced,1987,576,1857,530,67,1,608509959
974239375,PEG(PB07)_R3,PEG,PEG,Traced,1441,144,5,,1133,4,654632835
974300015,PEG(PB07)_L3,PEG,PEG,Traced,1396,268,7,1,922,2,785035775
974645472,PFR_a(PB11a)_L3_C3,PFR_a,PFR_a,Traced,1829,589,1675,541,99,2,523810983
976997968,PFR_a(PB11a)_R5_C5,PFR_a,PFR_a,Traced,1223,357,1108,347,79,1,438963855
979752365,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,2750,307,2071,8,572,1,1104413493
1002507131,PEN_a(PB06a)_R7,PEN1,PEN_a(PEN1),Traced,1917,612,1,,565,1,1065119131
1002507159,EPG(PB08)_R7,EPG,EPG,Traced,4220,545,38,10,231,218,1316105284
1002507170,PFL1(PB12a)_R7_C1,PFLC,PFL1,Traced,1392,85,873,11,505,6,1127535523
1002848124,PFNd(PB04)_R7_C3,PFNd,PFNd,Traced,1443,299,371,209,528,1,682555606
1002852791,EPG(PB08)_R7,EPG,EPG,Traced,4112,504,28,4,239,211,1209456657
1002999221,PFR_b(PB11b)_L6_C7,PFR_b,PFR_b,Traced,1293,288,946,70,153,13,625872511
1003318634,PFNd(PB04)_L7_C6,,PFNd,Traced,1336,307,343,196,350,1,637846497
1003659595,PFNp_b(PB01b)_L7_C6,PFNp_b,PFNp_b,Traced,196,84,28,39,16,1,175868484
1003672766,PFL1(PB12a)_L7_C9,PFLC,PFL1,Traced,1149,312,746,4,315,2,964632002
1004014587,PEG(PB07)_L7,PEG,PEG,Traced,935,211,5,2,490,3,413950685
1004017998,EPG(PB08)_L7,EPG,EPG,Traced,3073,414,12,2,188,144,965411401
1005261469,PFR_b(PB11b)_R3_C6,PFR_b,PFR_b,Traced,2356,222,2073,112,184,18,761416202
1008041969,PFR_a(PB11a)_L5_C5,PFR_a,PFR_a,Traced,1345,416,1222,369,75,1,513227795
1033887446,PFGs(PB10)_R7_C3,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2917,574,2685,558,226,11,1085894735
1034219901,EPG(PB08)_R7,EPG,EPG,Traced,4020,435,22,1,176,178,1185019251
1034711992,PFNp_a(PB01a)_L7_C6,PFNp_a,PFNp_a,Traced,224,67,14,32,56,4,148000552
1035045015,EPG(PB08)_L7,EPG,EPG,Traced,4196,549,23,2,226,208,1027118663
1035955516,PFNm_b(PB02b)_R4_C7,PFNm_b,PFNm_b,Traced,392,93,105,68,136,2,212169182
1036330791,PFR_a(PB11a)_R2_C8,PFR_a,PFR_a,Traced,1492,390,1402,384,48,1,440621040
1040393594,PFGs(PB10)_L3_C3,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,3123,690,2933,681,165,7,1117514933
1064577636,PFR_b(PB11b)_R7_C2,PFR_b,PFR_b,Traced,1928,222,1645,119,173,15,745793303
1065409934,PEG(PB07)_L8,PEG,PEG,Traced,923,220,9,2,530,1,434380151
1065410141,EPG(PB08)_L8,EPG,EPG,Traced,3278,406,14,,197,153,836597415
1066420480,PFR_b(PB11b)_L7_C8,PFR_b,PFR_b,Traced,1483,330,1169,115,124,12,643479927
1069757725,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,156,36,37,23,27,1,113987135
1070439674,PFR_b(PB11b)_L3_C4,PFR_b,PFR_b,Traced,1855,315,1554,102,128,9,778112832
1072503172,PFR_a(PB11a)_L6_C6,PFR_a,PFR_a,Traced,1566,422,1430,364,49,1,523432208
1072844208,PFR_a(PB11a)_L6_C7,PFR_a,PFR_a,Traced,1497,389,1374,347,68,1,490071744
1073504644,PFR_b(PB11b)_R5_C4,PFR_b,PFR_b,Traced,2215,271,1900,134,203,20,737078778
1094934199,PFNd(PB04)_R8_C2,PFNd,PFNd,Traced,1410,281,294,189,570,1,683485050
1097718901,PFL1(PB12a)_R2_C7,PFLC,PFL1,Traced,1417,9,961,4,451,1,868066626
1102191192,PFR_b(PB11b)_R3_C7,PFR_b,PFR_b,Traced,1630,98,1428,82,197,15,573043300
1103810192,PFGs(PB10)_R8_C2,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2140,424,1954,398,172,23,949867971
1125964651,PFNv(PB05)_R8_C3,PFNv,PFNv,Traced,1191,347,106,128,407,53,607539930
1125964814,EPG(PB08)_R8,EPG,EPG,Traced,3046,352,11,3,185,164,991536233
1125969082,PEG(PB07)_R9,PEG,PEG,Traced,953,106,2,1,766,9,612853083
1126301255,PFNa(PB03)_R8_C3,PFNa,PFNa,Traced,640,141,35,82,329,7,400991774
1126306451,PFNd(PB04)_R8_C2,PFNd,PFNd,Traced,1342,293,334,212,503,1,710219740
1126310807,PFNp_a(PB01a)_R8_C3,PFNp_a,PFNp_a,Traced,188,65,26,38,69,4,158827656
1126310969,PFNa(PB03)_R8_C3,PFNa,PFNa,Traced,583,138,30,94,275,1,348721689
1126647624,EPG(PB08)_R8,EPG,EPG,Traced,2943,376,19,2,217,170,1089813706
1127471202,PFNd(PB04)_L8_C7,,PFNd,Traced,1051,258,185,145,252,1,350288881
1127471692,PEN_a(PB06a)_L8,PEN1,PEN_a(PEN1),Traced,1819,576,2,,327,1,866409069
1127476096,EPG(PB08)_L8,EPG,EPG,Traced,3300,455,17,,167,171,846890948
1128088594,PEG(PB07)_L1,PEG,PEG,Traced,1029,191,6,1,677,1,586585085
1128092885,PFL1(PB12a)_L1_C8_irreg,PFLC,PFL1,Traced,1313,20,798,16,510,2,960402109
1129396529,hDeltaB_04_C4,FB34vD5FB34v,hDeltaB,Traced,2007,452,2004,436,,1,866088033
1133890586,PFGs(PB10)_L5_C5,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2149,393,1903,364,172,14,1020071695
1135907207,PFR_b(PB11b)_R6_C3,PFR_b,PFR_b,Traced,2556,229,2245,129,235,21,704924127
1136204852,PFGs(PB10)_R9_C1,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2154,464,2003,452,142,10,971124055
1136273393,PFGs(PB10)_L7_C7,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2394,381,2163,359,186,6,592330392
1137590785,SIFa(PDM34),,SIFa,Traced,658,344,39,30,20,11,4308407118
1155302782,PFNm_a(PB02a)_R8_C3,PFNm_a,PFNm_a,Traced,546,119,43,63,116,2,319944629
1155652503,PFNa(PB03)_R9_C1,PFNa,PFNa,Traced,597,134,36,85,251,1,412774414
1157000178,PFNp_e(PB01a)_R8_C3,PFNp_e,PFNp_e,Traced,348,79,32,37,148,7,183649556
1158507458,PFNp_e(PB01a)_L8_C7,PFNp_e,PFNp_e,Traced,287,75,12,33,97,3,179574042
1159123802,PFR_b(PB11b)_L1_C9_irreg,,PFR_b,Traced,1666,219,1345,111,210,20,639370086
1164269666,PFR_a(PB11a)_R3_C7,PFR_a,PFR_a,Traced,1443,390,1386,380,49,2,474982361
1164597572,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,140,50,21,28,20,1,113308724
1167282562,PFL2(PB12b)_R4_C2,PB1-4FB1245LAL,PFL2,Traced,3100,376,2093,6,907,6,1481422725
1167956458,PFR_a(PB11a)_R7_C3,PFR_a,PFR_a,Traced,1518,464,1458,452,53,1,507060988
1167995070,EPG(PB08)_L8,EPG,EPG,Traced,3874,476,20,,208,174,960598574
1168314368,PFR_a(PB11a)_R8_C2,PFR_a,PFR_a,Traced,1351,412,1291,405,47,2,501206113
1168659995,EPGt(PB09)_R9,EPGt,EPGt,Traced,611,154,3,,423,144,585738930
1168660239,EPGt(PB09)_L9,EPGt,EPGt,Traced,583,157,4,,383,135,369725815
1168664447,EPGt(PB09)_L9,EPGt,EPGt,Traced,610,167,28,5,387,137,390899085
1168664495,EPG(PB08)_L8,EPG,EPG,Traced,3858,468,20,2,173,144,1000269781
1187831582,PFNa(PB03)_L9_C9,PFNa,PFNa,Traced,682,181,45,113,279,1,384194515
1188181261,PFNd(PB04)_L9_C8,,PFNd,Traced,1132,276,260,157,288,1,489974838
1189891402,PFGs(PB10)_L8_C8,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,1643,285,1418,241,153,22,588763195
1192588945,,,,Traced,58,54,10,2,39,21,129657055
1198749960,PFGs(PB10)_L1_C9_irreg,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2064,406,1754,349,199,21,961787424
1200027441,PFGs(PB10)_L9_C9,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,1455,259,1335,244,80,4,495589091
1200032115,PFL3(PB12c)_R7_C1,PB1-7FB1245LAL,PFL3,Traced,4647,264,3920,4,663,4,1365251696
1200053009,PFL2(PB12b)_R5_C1,PB1-4FB1245LAL,PFL2,Traced,3032,399,2113,5,782,5,1532312771
1217394039,PFNm_b(PB02b)_R9_C1,PFNm_b,PFNm_b,Traced,536,113,121,82,175,1,253744616
1218728541,PFNa(PB03)_R9_C1,PFNa,PFNa,Traced,864,195,59,128,328,3,527636691
1218732640,PEN_a(PB06a)_R9,PEN1,PEN_a(PEN1),Traced,1946,563,1,,477,1,1008550189
1218732781,PFNd(PB04)_R9_C1,PFNd,PFNd,Traced,1297,275,244,166,529,3,652471029
1218732931,PFNd(PB04)_R9_C1,PFNd,PFNd,Traced,1361,263,276,169,488,2,598588168
1219069439,EPGt(PB09)_R9,EPGt,EPGt,Traced,790,170,98,12,525,154,571937645
1219069788,PFNp_a(PB01a)_R9_C2,PFNp_a,PFNp_a,Traced,310,73,19,35,112,4,170005012
1219756158,PFNp_a(PB01a)_R9_C2,PFNp_a,PFNp_a,Traced,288,76,17,33,138,2,170645565
1220584946,PEN_b(PB06b)_L9,PEN2,PEN_b(PEN2),Traced,1349,320,3,11,355,1,524380567
1223640877,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,480,166,23,59,120,33,323395635
1224936588,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,443,108,31,66,173,2,297415403
1250113288,PFNp_e(PB01a)_R9_C2,PFNp_e,PFNp_e,Traced,376,77,23,32,119,1,201082822
1251269930,PFNp_e(PB01a)_L9_C8,PFNp_e,PFNp_e,Traced,248,70,12,25,74,3,153099415
1256376704,PFNp_e(PB01a)_L6_C5,PFNp_e,PFNp_e,Traced,258,79,15,34,51,4,201325134
1258073453,PFL3(PB12c)_L1_C8_irreg,PB1-7FB1245LAL,PFL3,Traced,2164,6,1832,5,322,1,822785872
1258686925,PFL3(PB12c)_L2_C4,PB1-7FB1245LAL,PFL3,Traced,2916,481,2285,12,499,1,1251526591
1259097611,PFR_a(PB11a)_L8_C8,PFR_a,PFR_a,Traced,1283,446,1155,378,53,1,342984622
1292423935,PFL1(PB12a)_L3_C4,PFLC,PFL1,Traced,1166,283,478,2,617,1,1202334420
1318109929,PEN_b(PB06b)_L7,PEN2,PEN_b(PEN2),Traced,1781,438,7,19,438,2,839952860
1320799646,PFNp_a(PB01a)_L8_C7,PFNp_a,PFNp_a,Traced,174,65,18,37,61,4,128176386
1353544607,PEN_b(PB06b)_L8,PEN2,PEN_b(PEN2),Traced,1807,490,4,23,458,1,619565622
1380149683,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,296,70,9,38,57,1,191121333
1380495496,PEN_a(PB06a)_L6,PEN1,PEN_a(PEN1),Traced,1285,367,3,,279,1,467834236
1381484065,PFL2(PB12b)_L2_C6,PB1-4FB1245LAL,PFL2,Traced,2912,435,2226,8,560,2,1437029317
1410105306,PFNp_e(PB01a)_R4_C7,PFNp_e,PFNp_e,Traced,346,67,28,33,122,2,186565124
1410127303,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,435,96,36,54,81,1,238160891
1410127581,PFNm_a(PB02a)_L6_C5,PFNm_a,PFNm_a,Traced,421,94,60,55,60,1,222599797
1410450514,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,209,58,16,29,96,3,137642051
1412164346,PFNm_b(PB02b)_L5_C4,PFNm_b,PFNm_b,Traced,470,122,132,82,147,2,269470639
