id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,gL(R) #post,gL(R) #pre,#voxels
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,4,1,15,6,1973521252
299289811,SMP146_R,,SMP146,Traced,5080,1011,30,36,20,4,2562854346
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,6,3,9,2,610336226
328601956,CRE105_R,,CRE105,Traced,1995,492,2,,38,2,1150202676
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,19,14,424,316,6917059458
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,10,3,,1,434301483
422682603,PAM04_a(B2)_R,,PAM04_a,Traced,747,134,3,,4,5,250175925
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,29,38,15468,213,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,604,2,82,2,4356555624
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,12,,19,1,1773011190
425276848,DPM_L,,DPM,Traced,30007,7088,6728,1648,1336,329,6483095365
425790257,APL_R,,APL,Traced,127151,16190,677,145,33649,3544,23360457066
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,4,1,77,31,226850098
480258208,LHPV8a1_R,,LHPV8a1,Traced,1555,683,1,,33,1,1994134905
484130600,SMP145_R,,SMP145,Traced,3609,2264,2,1,14,6,2489431605
487899562,PAM01_a(y5)_R,,PAM01_a,Traced,1668,150,3,,827,100,380174418
488559952,PAM01_a(y5)_R,,PAM01_a,Traced,1180,168,2,,594,121,322182562
488581156,(MBDLaxon2),,,Traced,989,933,1,,8,3,1178319505
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,40,71,73,84,1964048244
520380132,SMP127_L,,SMP127,Traced,508,457,30,19,2,1,478509017
549955973,PAM01_a(y5)_R,,PAM01_a,Traced,1461,152,7,,710,103,341998412
550408954,PAM01_a(y5)_L,,PAM01_a,Traced,1203,163,22,3,330,44,305318308
580317662,PAM08_c(y4)_R,,PAM08_c,Traced,1866,319,10,4,909,198,417405171
581332573,PAM01_a(y5)_R,,PAM01_a,Traced,1119,161,2,,651,132,343929818
612440702,PAM01_b(y5)_L,,PAM01_b,Traced,695,152,2,,119,27,243491946
612638791,PAM04_a(B2)_R,,PAM04_a,Traced,608,136,2,1,2,3,261596710
612738462,MBON03(B'2mp)_L,,MBON03,Traced,17488,1374,1078,9,22,6,4377863012
613040803,CRE049_R,,CRE049,Traced,2229,750,14,4,19,9,1511757943
613079053,MBON04(B'2mp_bilateral)_L,,MBON04,Traced,17615,1600,1,,2201,6,3379363451
613847777,PAM01_a(y5)_L,,PAM01_a,Traced,1284,133,12,,310,36,321942494
642702809,CRE050_R,not yet identified MBON candidates,CRE050,Traced,4620,620,25,,100,2,2023774583
643142863,PAM01_a(y5)_L,,PAM01_a,Traced,1591,156,12,,362,52,328254208
643501489,PAM02(B'2a)_L,,PAM02,Traced,1213,188,528,98,61,12,299806071
644417074,PAM06_b(B'2m)_R,,PAM06_b,Traced,1138,120,184,21,92,8,315506243
644870768,PAM01_a(y5)_L,,PAM01_a,Traced,935,143,8,,157,33,315394433
645224664,PAM01_a(y5)_L,,PAM01_a,Traced,1162,147,28,,315,48,255879136
673702721,MBON15(a'1)_R,,MBON15,Traced,1249,231,9,,,1,483565747
674519060,PAM01_a(y5)_L,,PAM01_a,Traced,766,148,12,,246,52,214397229
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,19,1,17,5,251389374
676263239,PAM01_a(y5)_L,,PAM01_a,Traced,1358,128,11,,350,37,317801168
706819341,PAM13(B'1ap)_R,,PAM13,Traced,754,215,174,83,1,1,296744630
767671354,PAM14(B'1m)_L,,PAM14,Traced,360,159,132,53,1,1,163956942
798356481,PAM08_b(y4)_L,,PAM08_b,Traced,1248,244,5,1,298,76,337662143
798693540,PAM06_a(B'2m)_L,,PAM06_a,Traced,1006,387,468,207,7,2,408399939
829261936,PAM12(y3)_R,,PAM12,Traced,1336,229,7,1,312,89,440919426
859735285,CRE105(PVL06)_L,,CRE105,Traced,1589,470,1,,33,5,710680979
862705904,PAM12(y3)_R,,PAM12,Traced,1178,193,2,1,369,110,402053568
893149866,PAM12(y3)_L,,PAM12,Traced,966,216,8,1,200,81,258249835
954528474,PAM08_c(y4)_L,,PAM08_c,Traced,1738,298,4,1,442,87,337379008
955464899,PAM12(y3)_R,,PAM12,Traced,1174,183,6,3,257,78,382633721
983759126,PAM12(y3)_R,,PAM12,Traced,963,155,1,,265,59,332844630
984453829,,,,Traced,659,689,12,1,4,1,584836699
984799284,CRE060_R,,CRE060,Traced,844,393,6,3,8,1,738647628
985131499,MBON22(calyx)(PVL06)_L,,MBON22,Traced,685,760,21,16,40,8,977135458
985472994,LAL198(PVM14)_L,,LAL198,Traced,595,720,4,,17,2,992826233
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,28,10,46,12,2278694286
985818067,,,,Traced,176,317,3,4,26,12,271365706
986828383,PAM13(B'1ap)_R,,PAM13,Traced,1117,228,196,75,13,5,389938087
987997896,PAM13(B'1ap)_L,,PAM13,Traced,735,199,216,70,13,6,294789403
1015143077,CRE024_L,,CRE024,Traced,4924,969,3,,116,1,1768786393
1015825657,,,,Traced,168,299,4,2,12,11,271480057
1016166622,CRE067_R,,CRE067,Traced,1039,396,5,4,219,3,735317516
1016166928,,,,Traced,202,385,4,6,30,4,299158941
1016506999,LAL198_R,,LAL198,Traced,2427,780,3,3,23,1,1609357758
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,94,1,60,6,2083130629
1016839809,PAM06_a(B'2m)_R,,PAM06_a,Traced,1467,301,253,100,2,2,442006674
1047210325,,,,Traced,258,404,3,1,21,2,324251843
1047525093,PAM01_a(y5)_R,,PAM01_a,Traced,1849,155,12,,877,112,376757647
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,172,24,5046,2005,4211579375
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,84,6,34,8,2226046804
1050585709,PAM03(B2B'2a)_R,,PAM03,Traced,336,80,22,13,1,1,149916255
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,5210,87,17278,206,2791162363
1081086613,PAM12(y3)_L,,PAM12,Traced,656,141,4,3,155,52,283506292
1109957857,PAM01_a(y5)_R,,PAM01_a,Traced,1749,157,1,1,841,118,437796532
1110307501,PAM08_b(y4)_R,,PAM08_b,Traced,1379,227,2,,461,129,318277000
1110640084,CRE067_R,,CRE067,Traced,1342,370,5,,234,5,763267727
1112125413,PAM07(y4<y1y2)_L,,PAM07,Traced,745,232,3,1,54,24,265742623
1140655376,PAM02(B'2a)_R,,PAM02,Traced,1335,198,218,36,165,23,297452211
