id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,gL(L) #post,gL(L) #pre,#voxels
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,4,1,12,1,1973521252
299289811,SMP146_R,,SMP146,Traced,5080,1011,30,36,22,15,2562854346
328601956,CRE105_R,,CRE105,Traced,1995,492,2,,36,14,1150202676
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,19,14,644,151,6917059458
361376643,CRE025_R,,CRE025,Traced,3432,545,3,,2,1,1813320802
393404592,SMP127_R,,SMP127,Traced,2570,648,34,23,13,4,1245001681
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,29,38,19,35,5265462913
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,12,,51,2,1773011190
425276848,DPM_L,,DPM,Traced,30007,7088,6728,1648,16559,4033,6483095365
480258208,LHPV8a1_R,,LHPV8a1,Traced,1555,683,1,,54,1,1994134905
484130600,SMP145_R,,SMP145,Traced,3609,2264,2,1,10,5,2489431605
487899562,PAM01_a(y5)_R,,PAM01_a,Traced,1668,150,3,,392,50,380174418
487925063,MBON04(B'2mp_bilateral)_R,,MBON04,Traced,16859,1776,7340,7,2269,4,3269688224
488559952,PAM01_a(y5)_R,,PAM01_a,Traced,1180,168,2,,223,42,322182562
488581156,(MBDLaxon2),,,Traced,989,933,1,,4,1,1178319505
489051866,,,,Traced,71,40,7,2,9,7,32974410
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,40,71,64,104,1964048244
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,1,,28,1,3103732460
549955973,PAM01_a(y5)_R,,PAM01_a,Traced,1461,152,7,,394,47,341998412
550081497,MBON24(B2y5)(PDL05)_L,,MBON24,Traced,5962,67,48,,437,3,758606595
550408954,PAM01_a(y5)_L,,PAM01_a,Traced,1203,163,22,3,679,111,305318308
550431171,,,,Traced,374,415,4,5,1,3,466149886
577040776,,,,Traced,811,338,1,,30,3,406252950
577554935,SMP145(ADM10)_L,,SMP145,Traced,1810,1460,10,9,1,3,1640712084
580317662,PAM08_c(y4)_R,,PAM08_c,Traced,1866,319,10,4,274,58,417405171
581121328,,,,Traced,890,139,6,,6,1,851399266
581332573,PAM01_a(y5)_R,,PAM01_a,Traced,1119,161,2,,113,27,343929818
604289581,SMP376(PDM08)_L,C-Sm,SMP376,Traced,3551,871,4,,73,1,1801835068
611089775,MBON35(y2)_L,,MBON35,Traced,14188,465,3,,2141,13,1891978571
612440702,PAM01_b(y5)_L,,PAM01_b,Traced,695,152,2,,455,118,243491946
613040803,CRE049_R,,CRE049,Traced,2229,750,14,4,6,5,1511757943
613847777,PAM01_a(y5)_L,,PAM01_a,Traced,1284,133,12,,800,95,321942494
643142863,PAM01_a(y5)_L,,PAM01_a,Traced,1591,156,12,,914,104,328254208
643501489,PAM02(B'2a)_L,,PAM02,Traced,1213,188,528,98,137,15,299806071
643847447,MBON32(y2)(ADM08)_L,,MBON32,Traced,9197,1062,69,,2371,14,3202870430
644529212,,,,Traced,2557,586,12,,4,1,822968506
644870768,PAM01_a(y5)_L,,PAM01_a,Traced,935,143,8,,591,110,315394433
645224664,PAM01_a(y5)_L,,PAM01_a,Traced,1162,147,28,,644,96,255879136
673509195,MBON01(y5B'2a)_L,,MBON01,Traced,29244,2205,4841,8,22344,28,6713237576
674519060,PAM01_a(y5)_L,,PAM01_a,Traced,766,148,12,,373,96,214397229
674882250,CRE011(ADM05)_L,,CRE011,Traced,16768,707,259,2,165,11,2764738281
675528661,CRE024_R,,CRE024,Traced,4337,984,69,,179,1,2090195593
676263239,PAM01_a(y5)_L,,PAM01_a,Traced,1358,128,11,,809,90,317801168
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,11,2,8,7,277333760
706948318,MBON31(a'1a)(ADM10)_L,,MBON31,Traced,3298,932,170,2,33,2,1535739624
730013818,ATL007(ADM10)_L,CL-AtIb(c)1,ATL007,Traced,1013,340,6,,27,3,877968363
737167616,PAM02(B'2a)_R,,PAM02,Traced,1376,231,284,70,36,4,360759597
760690116,CRE066_R,,CRE066,Traced,934,533,14,3,3,4,937265171
766255970,(MBDLaxon1),,,Traced,1484,1148,45,,573,10,1016097670
766660682,,,,Traced,805,403,6,,5,2,329942671
766959162,,,,Traced,760,53,461,3,10,1,117878921
767321428,CRE082(PDM13)_L,,CRE082,Traced,466,207,4,,10,5,646239106
768677562,,,,Traced,2537,714,2,,210,7,1232037610
797277919,(MBDLaxon1),,,Traced,1124,1045,8,,275,1,1013204087
798356481,PAM08_b(y4)_L,,PAM08_b,Traced,1248,244,5,1,497,119,337662143
798585556,PAM06_b(B'2m)_L,,PAM06_b,Traced,959,114,709,89,13,2,214518180
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,13,4,4,1,135248805
826663057,,,,Traced,375,596,2,,1,2,495908932
829261936,PAM12(y3)_R,,PAM12,Traced,1336,229,7,1,388,131,440919426
830276571,PAM05(B'2p)_R,,PAM05,Traced,1135,314,257,107,9,3,425507826
859735285,CRE105(PVL06)_L,,CRE105,Traced,1589,470,1,,71,8,710680979
862705904,PAM12(y3)_R,,PAM12,Traced,1178,193,2,1,197,74,402053568
862792304,(PDM13)_L,,,Traced,536,106,7,,38,2,766883149
864169621,(PVL05)_L,,,Traced,67,87,1,1,2,2,94584044
891771553,CRE100(PDM27)_L,CL-VeSp,CRE100,Traced,2897,96,2,,172,1,1561570718
893149866,PAM12(y3)_L,,PAM12,Traced,966,216,8,1,366,128,258249835
912951014,MBON26(B'2d)(PDM28)_L,,MBON26,Traced,6395,1588,3100,29,288,1,2272675577
917919724,CRE066_R,,CRE066,Traced,605,431,9,,6,2,706765280
922496175,,,,Traced,558,127,1,,29,3,259088432
923415956,SMP165(AVM07)_L,,SMP165,Traced,1476,437,2,1,4,1,833177546
952166828,FB5K_L,CREFB5,FB5K,Traced,3583,610,5,,5,2,1132282137
953210984,,,,Traced,225,165,1,,4,1,160785493
953755666,LHAV9a1_c_R,,LHAV9a1_c,Traced,496,241,10,,9,1,429926220
954528474,PAM08_c(y4)_L,,PAM08_c,Traced,1738,298,4,1,986,200,337379008
955464899,PAM12(y3)_R,,PAM12,Traced,1174,183,6,3,256,95,382633721
983759126,PAM12(y3)_R,,PAM12,Traced,963,155,1,,362,93,332844630
984453829,,,,Traced,659,689,12,1,3,3,584836699
984794932,CRE068_R,,CRE068,Traced,513,268,3,,3,3,494990396
984799284,CRE060_R,,CRE060,Traced,844,393,6,3,67,34,738647628
985131499,MBON22(calyx)(PVL06)_L,,MBON22,Traced,685,760,21,16,45,8,977135458
985472994,LAL198(PVM14)_L,,LAL198,Traced,595,720,4,,35,1,992826233
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,28,10,8437,41,2278694286
985818067,,,,Traced,176,317,3,4,34,31,271365706
986828383,PAM13(B'1ap)_R,,PAM13,Traced,1117,228,196,75,4,3,389938087
987997896,PAM13(B'1ap)_L,,PAM13,Traced,735,199,216,70,108,28,294789403
1015622418,,,,Traced,809,407,15,13,761,369,235779801
1015825657,,,,Traced,168,299,4,2,5,3,271480057
1016118449,PAM11(a1)_L,,PAM11,Traced,538,203,20,8,,1,307010567
1016166622,CRE067_R,,CRE067,Traced,1039,396,5,4,43,15,735317516
1016166928,,,,Traced,202,385,4,6,13,18,299158941
1016270635,,,,Traced,136,128,2,5,24,4,108829423
1016611275,(PVL05)_L,,,Traced,934,741,6,,150,45,614564619
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,94,1,13692,266,2083130629
1043151516,,,,Traced,156,246,1,3,,8,889810212
1046506683,CRE066(AVM16)_L,,CRE066,Traced,398,465,10,,12,2,373177564
1047210325,,,,Traced,258,404,3,1,39,22,324251843
1047525093,PAM01_a(y5)_R,,PAM01_a,Traced,1849,155,12,,400,42,376757647
1047887562,CRE068_R,,CRE068,Traced,594,325,1,9,31,11,562548941
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,172,24,1407,485,4211579375
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,84,6,13331,335,2226046804
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,5210,87,47,1,2791162363
1079682006,,,,Traced,117,68,12,6,56,8,72450554
1081086613,PAM12(y3)_L,,PAM12,Traced,656,141,4,3,218,74,283506292
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,17,5,1,1,339562986
1109957857,PAM01_a(y5)_R,,PAM01_a,Traced,1749,157,1,1,264,37,437796532
1110307501,PAM08_b(y4)_R,,PAM08_b,Traced,1379,227,2,,261,62,318277000
1110640084,CRE067_R,,CRE067,Traced,1342,370,5,,25,11,763267727
1112125413,PAM07(y4<y1y2)_L,,PAM07,Traced,745,232,3,1,520,204,265742623
1131826900,FB4O_L,CRESMPFB4d,FB4O,Traced,1273,625,8,5,12,4,635401587
1131836336,FB4R_L,CREFB4,FB4R,Traced,846,398,1,,40,2,560532390
1140655376,PAM02(B'2a)_R,,PAM02,Traced,1335,198,218,36,104,20,297452211
1140737968,PAM08_b(y4)_L,,PAM08_b,Traced,1143,227,4,,550,118,305493467
1140738351,PAM08_c(y4)_L,,PAM08_c,Traced,1800,301,4,,1173,216,322122233
1140750938,PAM08_e(y4)_L,,PAM08_e,Traced,557,160,1,,368,127,252905528
1141000881,PAM08_b(y4)_R,,PAM08_b,Traced,2012,319,1,,532,113,424890767
1141009503,PAM08_b(y4)_L,,PAM08_b,Traced,475,203,4,6,79,65,128056257
1141070642,,,,Traced,964,88,12,,946,88,115719042
1141070663,,,,Traced,334,144,2,,332,144,76142904
1141337557,PAM08_d(y4)_R,,PAM08_d,Traced,1707,334,138,52,89,19,427493806
1141411491,,,,Traced,441,171,1,,436,170,97136111
1141678948,PAM08_e(y4)_R,,PAM08_e,Traced,656,148,1,,67,20,295914008
1142011140,PAM07(y4<y1y2)_R,,PAM07,Traced,1116,174,1,,71,32,425163642
1142490070,,,,Traced,417,174,6,3,408,168,98083419
1142490078,,,,Traced,393,177,369,163,20,10,127760963
1170400248,APL fragment?,,,Traced,2026,235,1453,183,1,1,293828523
1170404540,,,,Traced,429,186,418,181,10,4,125273798
1170404787,,,,Traced,378,186,356,170,22,16,118037991
1170404813,,,,Traced,326,167,315,161,11,6,104420946
1170404826,,,,Traced,382,181,375,177,7,4,114324068
1170404870,,,,Traced,372,174,366,169,6,5,112149184
1170404875,PAM05(B'2p)_R,,PAM05,Traced,682,237,167,95,3,4,319299901
1170404888,,,,Traced,366,178,361,174,3,2,109212718
1170409037,,,,Traced,404,175,390,165,14,10,120814929
1170409055,,,,Traced,373,185,370,183,3,2,112041295
1170409088,,,,Traced,351,182,349,178,2,4,113685268
1170413127,,,,Traced,248,88,245,87,3,1,73016337
1170413384,,,,Traced,248,111,247,109,1,1,88302040
1170745461,,,,Traced,330,149,319,142,9,6,98591586
1170749728,,,,Traced,460,168,453,163,1,2,114929950
1170753874,,,,Traced,297,141,297,138,,3,93334833
1171423213,,,,Traced,978,429,19,7,932,402,295799970
1171423416,,,,Traced,478,180,2,,472,176,114392182
1171431567,PAM01_a(y5)_L,,PAM01_a,Traced,1015,141,6,,587,102,302471572
1171436073,PAM13(B'1ap)_L,,PAM13,Traced,638,221,259,99,3,2,272074555
1171690432,PAM02(B'2a)_R,,PAM02,Traced,1506,171,317,30,32,6,324421746
1171760140,,,,Traced,380,159,4,,376,159,97097644
1171768085,,,,Traced,485,252,29,16,449,225,143880669
1171768398,,,,Traced,490,235,3,,485,235,125079679
1171772286,PAM08_a(y4)_L,,PAM08_a,Traced,954,198,2,1,710,165,266956643
1171772763,,,,Traced,342,122,10,5,331,117,76936549
1171776517,,,,Traced,348,153,9,1,339,152,91892301
1172031461,PAM08_c(y4)_R,,PAM08_c,Traced,1912,251,1,,422,81,387429139
1172096441,,,,Traced,362,143,2,,357,143,87876434
1172100938,,,,Traced,381,165,2,,379,165,104762547
1172118004,,,,Traced,402,155,7,4,395,151,90918023
1172118087,,,,Traced,457,177,5,2,452,175,96311726
1172118249,,,,Traced,394,153,30,16,363,137,93316902
1172127133,,,,Traced,423,187,2,1,419,186,104553930
1172161365,,,,Traced,1210,140,1,,1183,138,138132750
1172161563,,,,Traced,403,178,8,3,395,175,104326599
1172372655,PAM02(B'2a)_R,,PAM02,Traced,1472,209,392,52,18,3,330410034
1172441736,,,,Traced,426,167,1,,420,167,93831780
1172445996,,,,Traced,340,125,1,1,339,124,82313228
1172446060,,,,Traced,408,159,3,,405,159,88821230
1172502469,,,,Traced,35,9,12,2,23,7,3029314
